region,region_short,STATE_NAME,high_school_grad_rate,college_grad_rate,employment_rate,self_employment_rate,family_income_per_capita,poverty,in_migration_rate,sample_size,Abortion_rate_2015,Opioid_overdose_2016,Democrat_shr_2016,Republican_shr_2016,Other_shr_2016,gini_2010,Temperature_Cels,Murder_rt_2017,age_mean,health_insurance_mean,COVID_cases_per_million,COVID_tests_per_million
Middle Atlantic Division,Northeast,New York,0.90724444,0.41367638,0.78537577,0.092078537,38147.973,0.11374407,0.048747461,1477,23,15.1,59,37,2,0.5229,7.4,2.8,34.982449,0.93134099,12286,30407
Middle Atlantic Division,Northeast,New Jersey,0.93094289,0.45816734,0.83134133,0.069057107,39856.582,0.067729086,0.047808766,753,13,16,55,41,2,0.4813,11.5,3.6,35.644913,0.91156888,9167,18496
New England Division,Northeast,Massachusetts,0.9318766,0.4922879,0.83676094,0.096401028,43610.859,0.084832907,0.074550129,778,14,29.7,60,33,4,0.4786,8.8,2.5,34.63166,0.96432328,5325,22958
West South Central Division,Midwest,Louisiana,0.87012988,0.25541127,0.75,0.082251079,28221.213,0.18398269,0.080086581,924,10,7.7,38,58,2,0.499,19.1,12.4,35.134449,0.89123982,5056,29591
New England Division,Northeast,Connecticut,0.93717277,0.43979058,0.8062827,0.086387433,39463.758,0.11518325,0.062827222,382,15,24.5,55,51,3,0.4945,9.4,2.8,35.435951,0.93284482,4900,16254
New England Division,Northeast,Rhode Island,0.8862974,0.34402332,0.79591835,0.069970846,40092.113,0.096209913,0.10787172,343,13,26.7,54,39,3,0.4781,10.1,1.9,34.936996,0.94184166,4250,31067
South Atlantic Division,South,District of Columbia,0.90091741,0.60000002,0.84954131,0.099082567,62706.996,0.099082567,0.082568809,545,7,30,91,4,2,0.542,,,,,3895,19384
East North Central Division,Midwest,Michigan,0.94040525,0.37663886,0.78665078,0.072705604,34026.48,0.11084624,0.084624551,839,14,18.5,47,47,4,0.4695,6.9,5.7,35.299583,0.91969323,3092,10280
South Atlantic Division,South,Delaware,0.91016549,0.38297874,0.83215129,0.073286049,37009.254,0.073286049,0.075650118,423,15,16.9,53,42,3,0.4522,12.9,5.6,35.252773,0.92274165,2673,15581
Middle Atlantic Division,Northeast,Pennsylvania,0.91708797,0.40242669,0.80586451,0.0950455,38237.75,0.097067744,0.076845296,989,13,18.5,48,48,2,0.4689,9.3,5.8,35.226982,0.92259288,2481,12037
East North Central Division,Midwest,Illinois,0.90868795,0.40070921,0.82978725,0.10195035,37939.621,0.084219858,0.078014188,1128,16,15.3,55,38,4,0.481,11,7.8,35.242813,0.91734135,2274,10717
South Atlantic Division,South,Maryland,0.92250925,0.50922507,0.86162364,0.094095938,43944.238,0.055350553,0.070110701,542,,30,60,34,3,0.4499,12.3,9,35.32132,0.93141347,2050,10889
West North Central Division,Midwest,South Dakota,0.92654026,0.34123224,0.83412319,0.1421801,31888.334,0.080568723,0.078199051,422,3,5,32,62,6,0.4495,7.3,2.9,34.740337,0.86606795,1784,13491
South Atlantic Division,South,Georgia,0.90062112,0.36645964,0.77329195,0.095238097,32116.816,0.11490683,0.10662526,966,15,8.8,45,50,3,0.4813,17.5,6.7,35.283497,0.82670766,1716,7206
Mountain Division,West,Colorado,0.93186373,0.43687373,0.83567137,0.11623246,38459.418,0.056112226,0.086172342,499,9,9.5,48,43,5,0.4586,7.3,3.9,35.097672,0.91278976,1636,7830
East North Central Division,Midwest,Indiana,0.92932332,0.29924813,0.82706767,0.085714288,30610.445,0.093233086,0.097744361,665,6,12.6,38,57,5,0.4527,10.9,6,35.023449,0.89122909,1603,8569
Pacific Division,West,Washington,0.89319092,0.38050735,0.80774367,0.10280374,40517.953,0.08010681,0.10413885,749,12,9.7,53,37,5,0.4591,9.1,3.1,35.126343,0.91621697,1569,18045
East South Central Division,South,Mississippi,0.88181818,0.25064936,0.73376626,0.062337663,25343.75,0.16363636,0.06103896,770,4,6.2,40,58,1,0.4828,17.4,8.2,35.411537,0.83718318,1330,12970
New England Division,Northeast,Vermont,0.95444685,0.44902387,0.88937092,0.164859,38808.711,0.067245118,0.071583517,461,11,18.4,57,30,7,0.4539,6.1,2.2,35.723759,0.93922651,1285,20106
Mountain Division,West,Nevada,0.87671232,0.2074364,0.82778865,0.060665362,29072.061,0.11154599,0.15068494,511,12,13.3,48,46,3,0.4577,9.9,9.1,35.225414,0.86198896,1241,12301
South Atlantic Division,South,Florida,0.92425096,0.35161108,0.80327868,0.11079706,32125.475,0.11418881,0.087620124,1769,19,14.4,47,49,2,0.4852,21.5,5,35.611015,0.82545465,1238,12292
